customer_id,age,gender,region,tenure,monthly_charges,total_charges,contract,internet_service,support_tickets,satisfaction_score,payment_method,churn
C00069,22,Male,South,19,50.38,755.54,Month-to-month,Fiber optic,1,8.0,Credit card,No
C00070,44,Female,West,25,37.15,996.73,Month-to-month,DSL,4,2.0,Bank transfer,Yes
C00071,63,Female,South,53,85.35,4563.19,Month-to-month,DSL,4,7.0,Credit card,No
C00072,28,Female,North,70,129.33,9115.89,Two year,No,2,6.0,Mailed check,No
C00073,44,Male,South,45,60.8,2755.98,Month-to-month,Fiber optic,0,8.0,Electronic check,No
C00074,25,Female,Central,37,117.02,4383.97,One year,Fiber optic,0,2.0,Electronic check,No
C00075,57,Male,West,25,44.46,1049.15,One year,DSL,2,6.0,Credit card,No
C00076,45,Male,North,60,110.74,6710.91,One year,No,1,5.0,Electronic check,Yes
C00077,36,Male,East,8,89.06,884.17,One year,DSL,1,3.0,Credit card,No
C00078,30,Male,Central,10,45.13,376.99,One year,Fiber optic,3,1.0,Electronic check,Yes
C00079,50,Female,Central,15,107.58,1544.84,One year,DSL,2,4.0,Credit card,Yes
C00080,56,Female,West,20,107.08,2236.18,Month-to-month,DSL,4,5.0,Mailed check,Yes
C00081,71,Male,North,34,84.28,2782.42,Month-to-month,Fiber optic,2,1.0,Mailed check,No
C00082,42,Female,South,69,50.93,3406.28,Month-to-month,Fiber optic,4,9.0,Electronic check,No
C00083,27,Male,South,47,40.21,1953.2,Month-to-month,Fiber optic,1,7.0,Electronic check,No
C00084,65,Male,North,28,135.08,3717.67,One year,DSL,3,4.0,Mailed check,Yes
C00085,53,Female,North,16,100.42,1789.98,Month-to-month,No,5,1.0,Credit card,Yes
C00086,57,Male,South,47,118.06,5478.89,Two year,Fiber optic,1,8.0,Credit card,No
C00087,23,Female,East,19,105.15,1874.98,Month-to-month,No,0,1.0,Bank transfer,No
C00088,35,Male,South,71,120.39,8546.97,One year,DSL,2,5.0,Credit card,No
C00089,61,Male,East,35,43.69,1594.46,Month-to-month,Fiber optic,0,3.0,Credit card,Yes
C00090,65,Female,South,40,82.15,3334.05,Month-to-month,Fiber optic,6,3.0,Mailed check,Yes
C00091,42,Female,North,66,101.72,6794.36,Month-to-month,Fiber optic,4,8.0,Credit card,No
C00092,63,Male,Central,22,36.89,728.61,One year,Fiber optic,1,4.0,Bank transfer,No
C00093,65,Male,East,34,42.25,1606.82,Month-to-month,Fiber optic,6,3.0,Mailed check,Yes
C00094,40,Female,South,39,97.91,3570.19,One year,DSL,0,4.0,Credit card,No
C00095,69,Male,Central,20,124.9,2380.87,One year,DSL,4,2.0,Mailed check,Yes
C00096,34,Male,Central,4,100.95,409.56,Two year,DSL,4,8.0,Electronic check,Yes
C00097,31,Female,Central,21,29.16,507.79,One year,No,2,5.0,Mailed check,No
C00098,56,Male,North,9,136.6,1182.95,One year,DSL,0,3.0,Electronic check,Yes
C00099,54,Female,West,49,41.04,1863.71,Two year,DSL,0,4.0,Electronic check,Yes
C00100,25,Male,Central,1,51.74,51.74,Month-to-month,Fiber optic,3,10.0,Bank transfer,No
C00101,65,Female,Central,23,137.12,3223.22,One year,DSL,0,6.0,Mailed check,No
C00102,29,Female,South,64,113.67,7194.55,Month-to-month,No,1,7.0,Bank transfer,No
C00103,63,Male,Central,41,132.71,5309.26,One year,DSL,6,9.0,Bank transfer,No
C00104,18,Male,East,49,117.76,5701.1,Month-to-month,No,0,5.0,Mailed check,No
C00105,63,Male,East,49,99.95,5063.13,Month-to-month,Fiber optic,2,4.0,Credit card,No
C00106,62,Female,East,22,57.72,1434.18,One year,Fiber optic,2,10.0,Mailed check,No
C00107,62,Female,West,46,62.59,2807.42,Month-to-month,Fiber optic,3,6.0,Electronic check,No
C00108,55,Female,North,16,133.94,2219.28,Month-to-month,Fiber optic,3,3.0,Electronic check,Yes
C00109,44,Male,East,46,123.97,5699.87,Month-to-month,Fiber optic,1,9.0,Electronic check,No
C00110,58,Male,Central,50,66.34,3509.61,Two year,DSL,5,8.0,Mailed check,No
C00111,33,Female,East,64,67.93,4376.25,Month-to-month,No,0,5.0,Electronic check,No
C00112,62,Female,South,67,59.23,3938.18,Month-to-month,Fiber optic,4,3.0,Credit card,Yes
C00113,49,Female,North,2,62.5,364.98,Two year,Fiber optic,0,7.0,Electronic check,Yes
C00114,44,Male,East,22,123.98,2588.99,Two year,Fiber optic,1,6.0,Electronic check,No
C00115,46,Male,West,40,26.21,1096.28,Month-to-month,Fiber optic,0,3.0,Credit card,No
C00116,50,Male,East,24,75.15,2008.51,Month-to-month,Fiber optic,2,1.0,Electronic check,Yes
C00117,20,Male,Central,45,133.43,6104.27,Month-to-month,Fiber optic,2,9.0,Mailed check,No
C00118,25,Male,West,62,87.4,5304.37,Two year,DSL,2,9.0,Mailed check,Yes
C00119,31,Female,East,19,76.8,1336.7,Month-to-month,Fiber optic,3,10.0,Credit card,Yes
C00120,24,Male,North,65,60.92,3748.53,Month-to-month,DSL,0,4.0,Credit card,No
C00121,43,Female,East,64,33.5,2366.44,Month-to-month,No,2,8.0,Mailed check,No
C00122,56,Female,North,66,50.82,3184.19,One year,Fiber optic,2,6.0,Credit card,No
C00123,55,Female,West,6,35.4,319.41,Month-to-month,No,5,3.0,Electronic check,Yes
C00124,44,Female,North,22,39.57,656.56,One year,Fiber optic,0,10.0,Electronic check,No
C00125,66,Male,Central,9,43.8,694.2,Month-to-month,Fiber optic,1,4.0,Credit card,No
C00126,50,Female,South,9,59.73,334.64,One year,No,3,1.0,Credit card,No
C00127,22,Male,East,4,26.27,111.46,Two year,DSL,2,2.0,Credit card,No
C00128,61,Female,North,32,134.27,4478.45,Month-to-month,Fiber optic,0,10.0,Bank transfer,Yes
C00129,50,Female,South,7,39.24,169.22,Month-to-month,DSL,0,1.0,Credit card,Yes
C00130,54,Female,Central,22,69.06,1603.89,Month-to-month,DSL,4,6.0,Electronic check,No
C00131,50,Male,South,71,126.15,8914.38,One year,Fiber optic,3,5.0,Credit card,No
C00132,49,Male,East,64,37.26,2442.87,Month-to-month,Fiber optic,2,8.0,Bank transfer,No
C00133,23,Male,Central,68,80.61,5643.6,One year,No,2,9.0,Electronic check,No
C00134,49,Male,West,3,122.15,302.19,Month-to-month,DSL,3,5.0,Electronic check,Yes
C00135,63,Female,North,48,89.05,4498.94,One year,Fiber optic,4,7.0,Bank transfer,No
C00136,35,Male,South,46,49.19,2315.6,One year,DSL,7,9.0,Credit card,No
C00137,52,Male,South,10,109.58,1388.07,Month-to-month,DSL,2,9.0,Electronic check,Yes
C00138,19,Female,South,66,103.35,6696.31,Month-to-month,DSL,3,9.0,Credit card,No
C00139,37,Male,South,30,66.65,1903.19,One year,Fiber optic,1,8.0,Credit card,No
C00140,42,Female,East,71,30.32,2117.88,Month-to-month,Fiber optic,2,4.0,Electronic check,No
C00141,74,Male,South,9,25.9,51.2,One year,DSL,0,6.0,Bank transfer,No
C00142,30,Male,South,47,119.92,5775.12,Two year,DSL,1,8.0,Credit card,No
C00143,33,Female,East,10,61.98,608.42,Month-to-month,Fiber optic,1,3.0,Electronic check,No
C00144,41,Female,South,69,40.84,2646.04,Month-to-month,No,3,10.0,Mailed check,No
C00145,74,Female,South,44,84.63,3600.3,Month-to-month,DSL,1,5.0,Credit card,Yes
C00146,66,Female,East,6,130.9,654.91,Month-to-month,Fiber optic,1,8.0,Mailed check,No
C00147,19,Male,Central,16,25.98,554.23,Two year,Fiber optic,1,6.0,Electronic check,No
C00148,31,Female,East,26,31.46,886.54,Two year,Fiber optic,2,10.0,Credit card,No
C00149,64,Male,East,1,72.96,72.96,Month-to-month,DSL,2,7.0,Bank transfer,Yes
C00150,21,Female,Central,1,102.74,102.74,Two year,No,1,8.0,Mailed check,Yes
C00151,66,Male,West,67,79.75,5307.44,Month-to-month,Fiber optic,0,8.0,Bank transfer,No
C00152,34,Female,South,71,128.22,9370.79,Two year,Fiber optic,1,4.0,Bank transfer,No
C00153,70,Male,South,39,30.07,1137.64,Two year,No,0,4.0,Bank transfer,Yes
C00154,34,Female,East,65,64.12,4296.43,Month-to-month,No,2,9.0,Electronic check,No
C00155,42,Female,East,48,65.41,3090.28,One year,Fiber optic,3,5.0,Bank transfer,No
C00156,55,Female,North,3,64.11,444.7,One year,No,2,7.0,Credit card,No
C00157,25,Female,North,52,81.08,4033.28,Month-to-month,DSL,3,6.0,Electronic check,No
C00158,49,Male,South,2,115.92,352.89,Month-to-month,Fiber optic,3,1.0,Electronic check,Yes
C00159,46,Male,Central,59,61.56,3518.13,One year,Fiber optic,2,5.0,Electronic check,No
C00160,62,Female,West,27,110.62,3286.74,Month-to-month,No,1,2.0,Electronic check,Yes
C00161,74,Male,Central,11,41.84,564.84,Month-to-month,Fiber optic,0,1.0,Electronic check,Yes
C00162,55,Male,North,19,89.48,1444.55,Month-to-month,DSL,2,3.0,Electronic check,No
C00163,41,Male,East,50,68.14,3267.28,One year,Fiber optic,1,3.0,Bank transfer,No
C00164,41,Female,East,61,87.01,5410.38,Month-to-month,Fiber optic,0,8.0,Credit card,No
C00165,41,Male,East,42,37.39,1669.05,Month-to-month,Fiber optic,1,3.0,Electronic check,No
C00166,64,Male,East,12,134.65,1703.27,Month-to-month,Fiber optic,0,8.0,Bank transfer,No
C00167,36,Female,South,65,129.21,8422.14,Month-to-month,DSL,2,3.0,Electronic check,Yes
C00168,27,Male,North,57,120.04,6794.44,One year,DSL,3,9.0,Credit card,No
C00169,37,Male,Central,30,127.67,3993.11,Month-to-month,Fiber optic,0,6.0,Mailed check,Yes
C00170,19,Male,Central,40,41.87,1545.18,One year,Fiber optic,0,1.0,Bank transfer,No
C00171,24,Female,North,70,82.93,5813.12,Month-to-month,Fiber optic,6,2.0,Credit card,No
C00172,23,Male,East,28,61.56,1630.66,One year,No,1,1.0,Credit card,No
C00173,61,Female,East,2,127.05,149.11,Month-to-month,Fiber optic,4,5.0,Electronic check,No
C00174,59,Male,West,11,46.79,445.84,Two year,Fiber optic,2,3.0,Credit card,No
C00175,57,Male,Central,44,50.29,2102.47,Month-to-month,Fiber optic,1,1.0,Electronic check,Yes
C00176,44,Male,,72,103.97,7568.3,Two year,No,3,7.0,Credit card,No
C00177,58,Male,West,54,35.22,1680.46,Month-to-month,Fiber optic,0,9.0,Mailed check,No
C00178,27,Male,Central,45,109.22,4979.55,Month-to-month,No,3,9.0,Bank transfer,No
C00179,69,Male,Central,24,55.83,1244.78,One year,DSL,0,2.0,Credit card,No
C00180,46,Male,South,32,101.01,3236.88,Month-to-month,Fiber optic,2,9.0,Bank transfer,Yes
C00181,71,Female,Central,3,125.4,351.17,Month-to-month,DSL,1,5.0,Bank transfer,No
C00182,26,Female,East,27,95.11,2493.09,One year,Fiber optic,0,3.0,Credit card,Yes
C00183,46,Female,North,45,49.46,2407.67,One year,No,0,2.0,Mailed check,No
C00184,57,Female,West,66,30.65,1967.27,One year,No,2,8.0,Credit card,No
C00185,46,Female,Central,67,30.13,2124.24,Two year,DSL,2,3.0,Bank transfer,No
C00186,43,Female,South,60,35.21,2220.06,Month-to-month,No,3,7.0,Electronic check,No
C00187,27,Female,East,2,91.68,142.47,Month-to-month,DSL,1,6.0,Credit card,No
C00188,39,Male,South,59,65.05,3649.27,One year,Fiber optic,3,10.0,Credit card,No
C00189,31,Female,North,16,52.96,715.04,Month-to-month,Fiber optic,1,8.0,Electronic check,Yes
C00190,35,Male,Central,45,50.22,2451.72,Month-to-month,Fiber optic,2,8.0,Bank transfer,No
C00191,56,Female,North,69,134.09,9326.09,Month-to-month,Fiber optic,3,5.0,Mailed check,No
C00192,53,Female,East,64,38.66,2495.07,Month-to-month,Fiber optic,1,6.0,Bank transfer,No
C00193,52,Male,North,48,60.05,2797.35,Month-to-month,Fiber optic,1,2.0,Electronic check,Yes
C00194,38,Male,West,22,79.22,2002.61,Month-to-month,Fiber optic,1,8.0,Electronic check,Yes
C00195,72,Male,Central,38,25.05,821.68,One year,Fiber optic,2,8.0,Electronic check,No
C00196,22,Male,West,51,130.91,6697.37,One year,Fiber optic,1,4.0,Electronic check,Yes
C00197,37,Female,West,38,36.4,1458.47,Two year,Fiber optic,2,2.0,Electronic check,Yes
C00198,24,Female,Central,30,103.48,2908.54,Month-to-month,DSL,1,8.0,Electronic check,Yes
C00199,37,Female,Central,30,97.32,2805.83,Month-to-month,Fiber optic,1,8.0,Electronic check,Yes
C00200,72,Female,Central,44,118.04,5125.13,One year,Fiber optic,5,8.0,Electronic check,No
C00201,38,Male,South,3,99.91,429.02,Month-to-month,DSL,1,1.0,Electronic check,Yes
C00202,69,Male,East,72,113.48,8104.88,Month-to-month,DSL,2,9.0,Mailed check,No
C00203,46,Female,Central,8,73.44,372.09,One year,No,2,4.0,Mailed check,Yes
C00204,57,Female,South,71,81.2,5535.36,One year,No,3,3.0,Bank transfer,No
C00205,44,Female,West,3,105.69,202.02,Month-to-month,Fiber optic,1,6.0,Electronic check,Yes
C00206,33,Male,North,37,90.37,3120.17,One year,Fiber optic,5,9.0,Electronic check,Yes
C00207,61,Female,Central,31,83.83,2714.03,One year,No,3,9.0,Credit card,No
C00208,73,Female,West,42,48.64,2164.06,Two year,Fiber optic,5,2.0,Bank transfer,Yes
C00209,33,Male,West,32,54.68,1750.82,Month-to-month,DSL,6,10.0,Bank transfer,No
C00210,62,Male,Central,65,66.23,4265.48,One year,Fiber optic,1,8.0,Bank transfer,No
C00211,32,Male,South,2,26.07,163.38,One year,No,2,10.0,Credit card,No
C00212,58,Male,,71,73.0,5288.03,Month-to-month,Fiber optic,1,10.0,Mailed check,No
C00213,62,Male,Central,50,25.32,1118.0,One year,DSL,2,6.0,Bank transfer,No
C00214,43,Female,North,57,89.98,5001.58,One year,No,1,1.0,Electronic check,No
C00215,60,,Central,11,105.96,1271.54,Month-to-month,Fiber optic,5,1.0,Credit card,Yes
C00216,33,Male,South,5,89.65,488.83,Month-to-month,Fiber optic,1,7.0,Credit card,Yes
C00217,22,Female,East,29,104.75,3128.99,Month-to-month,No,3,1.0,Electronic check,Yes
C00218,23,Female,East,24,25.0,465.91,One year,Fiber optic,3,7.0,Credit card,Yes
C00219,43,Male,West,57,31.84,1702.13,Month-to-month,No,2,2.0,Credit card,No
C00220,69,Male,Central,65,105.32,6915.38,Month-to-month,No,3,9.0,Credit card,No
C00221,25,Male,South,31,117.33,3534.94,Month-to-month,DSL,2,3.0,Mailed check,Yes
C00222,43,Female,North,56,107.54,5794.25,One year,Fiber optic,1,2.0,Electronic check,No
C00223,58,Female,East,5,101.25,406.23,One year,Fiber optic,1,4.0,Mailed check,Yes
C00224,29,Female,West,54,106.35,5712.13,Month-to-month,No,6,10.0,Electronic check,Yes
C00225,59,Female,West,8,110.05,1135.6,Month-to-month,No,2,6.0,Mailed check,No
C00226,35,Male,West,49,108.3,5180.93,Month-to-month,No,1,10.0,Electronic check,No
C00227,64,Male,South,28,109.87,3067.11,Month-to-month,Fiber optic,2,3.0,Credit card,Yes
C00228,51,Female,Central,30,33.51,1305.3,One year,Fiber optic,3,7.0,Mailed check,No
C00229,49,Male,North,20,32.28,481.59,Month-to-month,DSL,1,2.0,Electronic check,Yes
C00230,28,Male,North,30,66.53,2094.97,One year,Fiber optic,2,5.0,Bank transfer,No
C00231,44,Male,North,63,85.67,5290.56,One year,DSL,3,4.0,Credit card,No
C00232,66,Male,Central,59,112.7,6709.55,Two year,No,3,7.0,Credit card,No
C00233,19,Male,North,25,63.49,1887.25,Month-to-month,Fiber optic,2,7.0,Bank transfer,No
C00234,61,Male,West,22,56.64,1364.81,Month-to-month,Fiber optic,5,1.0,Electronic check,Yes
C00235,46,Male,Central,37,114.87,4272.97,Month-to-month,DSL,2,7.0,Bank transfer,No
C00236,59,Female,West,50,53.67,2540.83,Two year,Fiber optic,1,8.0,Electronic check,No
C00237,55,Female,Central,14,119.4,1645.29,One year,Fiber optic,0,4.0,Bank transfer,No
C00238,42,Female,North,53,45.37,2319.81,One year,No,3,1.0,Credit card,No
C00239,35,Female,East,69,66.34,4359.88,One year,No,3,5.0,Electronic check,No
C00240,53,Female,East,61,71.12,4038.32,Month-to-month,Fiber optic,2,4.0,Electronic check,No
C00241,25,Male,West,40,59.44,2253.03,One year,No,3,8.0,Credit card,No
C00242,51,Female,West,24,25.39,604.63,One year,DSL,2,2.0,Electronic check,No
C00243,23,Female,East,24,52.08,1417.82,Month-to-month,DSL,2,3.0,Credit card,No
C00244,55,Female,South,54,63.83,3336.09,Two year,Fiber optic,3,8.0,Mailed check,No
C00245,53,Male,North,33,61.07,2044.05,Two year,Fiber optic,0,10.0,Electronic check,No
C00246,22,Male,East,8,115.34,667.54,Two year,DSL,2,6.0,Credit card,No
C00247,61,Female,South,49,30.45,1371.99,One year,DSL,2,1.0,Mailed check,No
C00248,41,Female,East,10,69.73,397.3,Month-to-month,Fiber optic,0,,Mailed check,No
C00249,62,Female,West,72,29.31,2410.32,One year,DSL,0,1.0,Electronic check,No
C00250,20,Female,,31,132.02,4122.32,Month-to-month,Fiber optic,0,1.0,Bank transfer,Yes
C00251,28,Male,East,25,115.87,2921.71,One year,Fiber optic,1,7.0,Electronic check,No
C00252,46,Male,North,4,137.95,632.08,Month-to-month,No,3,4.0,Bank transfer,Yes
C00253,28,Female,West,13,129.67,1985.71,Two year,DSL,1,1.0,Credit card,No
C00254,36,Female,East,69,61.32,4165.79,Month-to-month,DSL,2,5.0,Electronic check,No
C00255,55,Male,North,39,104.53,3929.55,Month-to-month,DSL,2,4.0,Credit card,Yes
C00256,26,Male,South,65,60.25,4216.25,Month-to-month,DSL,1,7.0,Electronic check,No
C00257,56,Male,West,69,127.14,8588.03,One year,Fiber optic,2,10.0,Credit card,No
C00258,23,Male,Central,4,72.24,483.68,Month-to-month,Fiber optic,1,2.0,Credit card,Yes
C00259,27,Female,East,28,68.23,1899.37,Month-to-month,DSL,3,7.0,Mailed check,No
C00260,51,Male,Central,61,130.12,8002.32,Month-to-month,No,4,7.0,Credit card,No
C00261,63,Female,North,36,121.23,4148.77,Month-to-month,Fiber optic,0,10.0,Bank transfer,No
C00262,27,Male,South,37,136.14,5337.18,Two year,DSL,3,4.0,Electronic check,No
C00263,35,,Central,42,32.65,1313.97,Month-to-month,DSL,3,2.0,Mailed check,No
C00264,70,Male,North,51,52.98,2596.78,Month-to-month,No,0,10.0,Credit card,No
C00265,74,Female,West,68,59.6,4135.06,Month-to-month,Fiber optic,4,1.0,Electronic check,Yes
C00266,51,Female,South,64,73.8,4626.46,Month-to-month,No,5,5.0,Credit card,No
C00267,43,Female,South,46,79.41,3716.53,Month-to-month,DSL,4,7.0,Electronic check,No
C00268,37,Female,East,42,58.52,2268.69,Month-to-month,Fiber optic,5,2.0,Electronic check,Yes
C00269,52,Female,South,26,115.9,3035.24,Month-to-month,DSL,2,3.0,Electronic check,Yes
C00270,51,Female,Central,9,50.67,365.56,Month-to-month,Fiber optic,2,2.0,Credit card,Yes
C00271,34,Male,Central,52,105.1,5347.7,Month-to-month,Fiber optic,0,9.0,Electronic check,No
C00272,19,Male,East,1,122.95,122.95,One year,Fiber optic,3,3.0,Bank transfer,Yes
C00273,26,Male,East,51,94.43,4948.81,Month-to-month,DSL,2,7.0,Electronic check,No
C00274,72,Male,North,36,65.73,2313.72,One year,DSL,3,3.0,Electronic check,No
C00275,41,Female,South,57,46.61,2629.19,One year,Fiber optic,2,7.0,Electronic check,No
C00276,45,Male,North,69,40.45,2855.11,Two year,DSL,0,8.0,Credit card,No
C00277,44,Male,Central,40,110.58,4594.22,Month-to-month,Fiber optic,5,1.0,Electronic check,Yes
C00278,62,Female,South,42,78.95,3177.41,One year,DSL,2,8.0,Electronic check,No
C00279,21,Male,South,36,30.33,1124.98,Two year,DSL,2,7.0,Electronic check,No
C00280,22,Male,Central,27,138.14,3593.33,Two year,No,3,1.0,Mailed check,No
C00281,33,Female,West,7,102.2,684.12,One year,DSL,2,3.0,Electronic check,Yes
C00282,45,Female,West,3,122.08,526.0,Month-to-month,Fiber optic,4,9.0,Electronic check,Yes
C00283,56,Female,North,53,75.39,3695.67,Two year,Fiber optic,3,5.0,Credit card,Yes
C00284,45,Female,East,66,134.88,8763.65,One year,DSL,0,1.0,Credit card,No
C00285,43,Female,East,4,47.95,157.1,Month-to-month,Fiber optic,1,7.0,Electronic check,Yes
C00286,71,Female,South,24,46.29,1168.05,Month-to-month,Fiber optic,2,8.0,Mailed check,Yes
C00287,27,Male,West,44,127.39,5788.12,Two year,No,3,5.0,Bank transfer,No
C00288,50,Female,Central,51,127.55,6250.46,Month-to-month,Fiber optic,4,2.0,Credit card,No
C00289,48,Male,South,53,82.39,4578.99,One year,Fiber optic,1,2.0,Credit card,No
C00290,44,Male,South,50,39.47,2051.62,Month-to-month,Fiber optic,2,4.0,Bank transfer,No
C00291,64,Female,South,7,60.1,384.61,One year,No,2,5.0,Electronic check,No
C00292,33,Female,Central,19,111.73,1902.51,Month-to-month,Fiber optic,4,8.0,Mailed check,Yes
C00293,72,Male,North,34,122.29,4071.99,One year,Fiber optic,3,7.0,Electronic check,No
C00294,36,Female,Central,5,64.98,478.68,Month-to-month,DSL,1,3.0,Credit card,Yes
C00295,49,Female,West,25,32.04,804.96,Two year,DSL,5,7.0,Electronic check,No
C00296,47,Female,East,28,101.56,2816.56,Month-to-month,DSL,3,2.0,Bank transfer,No
C00297,66,Male,East,71,110.04,7667.12,Month-to-month,DSL,2,2.0,Bank transfer,No
